epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.828125,,0.7540695667266846,,
0,99,,0.8125,,0.4550010561943054,,
0,113,,,,,0.8754359483718872,0.4564354121685028
0,113,0.7704018950462341,,0.8375123143196106,,,
1,149,,0.875,,0.4584609270095825,,
1,199,,0.90625,,0.3195781409740448,,
1,227,,,,,0.9038365483283997,0.35754892230033875
1,227,0.9229186773300171,,0.2803879380226135,,,
2,249,,0.90625,,0.277465283870697,,
2,299,,0.984375,,0.11284609884023666,,
2,341,,,,,0.9118086695671082,0.3236423134803772
2,341,0.9425318837165833,,0.2119920700788498,,,
3,349,,0.984375,,0.20858140289783478,,
3,399,,0.96875,,0.12382221966981888,,
3,449,,0.921875,,0.280037522315979,,
3,455,,,,,0.9197807908058167,0.30664458870887756
3,455,0.9530928730964661,,0.17741020023822784,,,
4,499,,0.9375,,0.2525389492511749,,
4,549,,1.0,,0.045580144971609116,,
4,569,,,,,0.9242650866508484,0.2955581545829773
4,569,0.959264874458313,,0.15395678579807281,,,
5,599,,0.96875,,0.11742524057626724,,
5,649,,0.96875,,0.14733919501304626,,
5,683,,,,,0.9282511472702026,0.2875186800956726
5,683,0.9629680514335632,,0.1359202265739441,,,
6,699,,0.96875,,0.08800307661294937,,
6,749,,0.984375,,0.11878614127635956,,
6,797,,,,,0.9297459125518799,0.28102725744247437
6,797,0.9663969278335571,,0.12130064517259598,,,
7,799,,0.984375,,0.06406497955322266,,
7,849,,1.0,,0.07132654637098312,,
7,899,,0.96875,,0.08385462313890457,,
7,911,,,,,0.9317389130592346,0.2763063907623291
7,911,0.9696886539459229,,0.10901346057653427,,,
8,949,,0.96875,,0.06595256924629211,,
8,999,,0.96875,,0.08060310781002045,,
8,1025,,,,,0.9327354431152344,0.27273181080818176
8,1025,0.9720203280448914,,0.0986286997795105,,,
9,1049,,0.984375,,0.05998207628726959,,
9,1099,,0.953125,,0.13991180062294006,,
9,1139,,,,,0.9352266788482666,0.27028051018714905
9,1139,0.9755863547325134,,0.08961468935012817,,,
